kl_ip,kl_threat_score,kl_category,kl_first_seen,kl_popularity
23.129.64.202,80,tor_exit_node,14.05.2019 07:10,2
23.129.64.207,80,tor_exit_nodeand spam,08.04.2019 01:20,2
8.209.76.143,80,malware,21.01.2020 21:23,2
5.39.87.147,80,proxy,22.08.2019 04:10,2
5.58.85.32,80,proxy,08.11.2018 07:20,2
1.179.184.158,80,proxy,25.09.2018 05:00,2
23.129.64.169,80,proxy,17.04.2019 14:10,2
23.129.64.160,80,proxy,21.04.2019 11:20,2
1.180.69.178,80,proxy,25.11.2019 18:40,1
1.20.101.221,80,proxy,27.09.2018 00:00,1
1.20.101.149,80,proxy,27.09.2018 00:20,1
1.179.131.69,80,proxy,29.08.2019 09:20,1
1.179.206.201,80,proxy,07.11.2018 04:40,1
1.10.189.156,80,proxy,26.09.2018 13:30,1
1.32.59.217,80,proxy,16.08.2018 01:00,1
1.186.40.177,80,proxy,29.04.2019 18:50,1
1.20.102.54,80,proxy,05.11.2018 17:30,1
1.10.188.132,80,proxy,27.09.2018 09:40,1
1.179.144.41,80,proxy,29.08.2018 07:20,1
1.20.102.102,80,proxy,14.11.2018 22:40,1
1.20.217.221,80,proxy,27.03.2019 10:10,1
1.179.182.110,80,proxy,20.06.2018 16:01,1
1.179.144.181,80,proxy,09.07.2019 00:20,1
1.10.188.202,80,proxy,09.10.2018 23:40,1
1.10.188.85,80,proxy,26.09.2018 04:10,1
1.10.188.52,80,proxy,21.09.2018 00:30,1
1.20.101.24,80,proxy,05.11.2018 03:20,1
1.193.13.79,80,proxy,28.06.2019 16:20,1
1.179.148.9,80,proxy,26.09.2018 19:00,1
1.20.156.230,80,proxy,15.01.2020 04:30,1
1.20.203.251,80,proxy,27.02.2020 04:30,1
1.2.248.59,80,proxy,27.02.2020 04:30,1
1.4.198.186,80,proxy,25.02.2020 17:40,1
1.228.6.41,80,proxy,28.12.2019 09:50,1
1.20.102.68,80,proxy,27.03.2019 08:50,1
1.0.177.239,80,proxy,17.02.2020 06:10,1
1.179.149.97,80,proxy,08.09.2019 07:10,1
1.20.97.122,80,proxy,08.11.2018 02:00,1
1.20.99.218,80,proxy,08.11.2018 04:40,1
1.10.153.80,80,proxy,25.02.2020 06:50,1
1.4.198.47,80,proxy,22.02.2020 15:00,1
1.10.234.55,80,proxy,22.02.2020 06:20,1
1.10.188.93,80,proxy,05.11.2018 11:40,1
1.0.184.10,80,proxy,22.02.2020 06:10,1
1.20.97.4,80,proxy,09.11.2018 02:30,1
1.0.179.169,80,proxy,22.02.2020 15:50,1
1.10.138.142,80,proxy,22.02.2020 06:10,1
1.20.100.45,80,proxy,07.11.2018 02:30,1
1.165.103.73,80,proxy,20.02.2020 04:40,1
1.10.251.98,80,proxy,15.06.2019 09:10,1
1.20.254.109,80,proxy,19.02.2020 14:40,1
1.10.180.144,80,proxy,15.02.2020 00:40,1
1.0.188.225,80,proxy,17.02.2020 01:00,1
1.0.135.155,80,proxy,12.01.2020 02:50,1
1.10.225.73,80,proxy,14.02.2020 12:00,1
1.179.227.87,80,proxy,16.02.2020 08:20,1
1.10.137.173,80,proxy,14.02.2020 06:00,1
1.4.219.64,80,proxy,15.02.2020 07:10,1
1.197.16.5,80,proxy,23.06.2019 16:20,1
1.20.100.227,80,proxy,05.11.2018 16:00,1
1.10.183.133,80,proxy,13.02.2020 17:40,1
1.10.253.138,80,proxy,09.02.2020 23:50,1
1.20.168.243,80,proxy,07.02.2020 14:50,1
1.20.217.149,80,proxy,21.05.2019 18:10,1
1.0.182.186,80,proxy,08.02.2020 14:00,1
1.20.101.46,80,proxy,06.11.2018 15:00,1
1.175.137.62,80,proxy,09.02.2020 18:40,1
1.198.72.235,80,proxy,21.06.2019 03:20,1
1.20.83.162,80,proxy,07.02.2020 00:00,1
1.0.211.67,80,proxy,07.02.2020 07:00,1
1.10.189.84,80,proxy,06.11.2018 16:20,1
1.20.101.114,80,proxy,06.11.2018 15:00,1
1.10.187.149,80,proxy,22.09.2018 22:10,1
1.20.97.173,80,proxy,05.11.2018 04:40,1
1.10.186.35,80,proxy,05.11.2018 04:40,1
1.10.237.146,80,proxy,26.01.2020 09:00,1
1.4.223.152,80,proxy,02.02.2020 10:20,1
1.20.99.178,80,proxy,05.11.2018 10:40,1
1.179.206.161,80,proxy,07.11.2018 23:50,1
1.10.188.140,80,proxy,07.11.2018 05:00,1
1.0.176.116,80,proxy,20.01.2020 13:00,1
1.10.141.220,80,proxy,05.11.2018 05:00,1
1.2.169.12,80,proxy,06.11.2018 06:20,1
1.9.216.226,80,proxy,24.01.2019 23:30,1
1.186.151.206,80,proxy,11.10.2018 15:30,1
34.233.15.214,79,malware,24.05.2019 13:51,5
34.202.53.95,78,malware,15.05.2019 16:45,5
5.8.35.161,75,malware,24.10.2019 02:04,5
5.45.64.181,75,malware,28.02.2017 14:43,4
18.229.95.196,75,malware,16.12.2019 16:34,4
5.149.250.80,75,malware,05.02.2018 16:50,4
5.9.18.114,75,malware,02.05.2015 00:00,3
2.59.134.111,75,malware,07.11.2019 02:07,3
5.188.178.72,75,malware,11.02.2020 00:59,3
5.188.178.93,75,malware,11.02.2020 06:26,2
5.45.72.63,75,malware,17.10.2017 15:38,2
5.149.250.122,75,malware,29.07.2019 18:53,2
5.45.67.97,75,malware,11.01.2018 21:38,2
18.216.186.1,75,malware,05.11.2019 11:32,2
192.0.2.1,75,test,01.01.2017 00:00,1
192.0.2.3,75,test,15.01.2017 00:00,1
5.59.143.43,74,spam,22.04.2019 01:40,4
31.46.236.14,74,spam,31.07.2018 13:40,4
5.178.217.227,74,spam,30.09.2018 01:40,4
12.132.115.17,74,spam,18.02.2019 17:51,4
31.173.81.48,74,spam,08.02.2019 21:40,4
23.90.57.200,74,spam,21.02.2020 13:50,3
2.115.68.98,74,spam,07.11.2019 21:50,3
14.102.61.138,74,spam,28.09.2018 02:01,3
1.53.137.92,74,spam,29.08.2018 17:40,3
23.227.206.216,74,spamand malware,18.02.2020 06:10,3
5.23.54.164,74,spam,16.07.2019 02:10,3
1.212.157.115,74,spam,01.10.2018 06:42,3
2.139.173.60,74,spam,23.05.2019 21:50,3
14.48.43.156,74,spam,23.02.2019 17:40,3
5.133.66.10,74,spam,06.05.2019 21:50,3
1.209.243.120,74,spam,03.12.2019 17:50,3
24.244.167.12,74,spam,23.12.2019 06:00,3
5.133.66.40,74,spam,24.06.2019 14:10,3
14.245.11.241,74,spam,20.02.2020 02:00,3
5.182.26.126,74,spam,05.01.2020 09:50,3
5.133.66.109,74,spam,04.07.2019 10:10,3
5.133.66.64,74,spam,06.05.2019 01:50,3
14.190.40.53,74,spam,14.02.2020 06:00,3
23.254.253.35,74,spam,21.02.2020 13:50,3
23.90.57.208,74,spam,22.02.2020 13:50,3
5.133.66.118,74,spam,05.05.2019 05:50,3
5.133.66.103,74,spam,04.05.2019 21:50,3
23.90.57.202,74,spam,21.02.2020 13:50,3
2.58.126.130,74,spam,21.02.2020 22:00,3
31.5.207.244,74,spam,04.08.2019 14:20,3
2.90.252.249,74,spam,19.02.2020 13:50,3
14.248.150.31,74,spam,19.02.2020 13:50,3
14.171.76.16,74,spam,19.01.2020 10:20,3
14.254.62.244,74,spam,21.01.2020 10:00,3
5.66.251.154,74,spam,06.12.2019 05:50,3
5.101.51.75,74,spam,30.08.2019 22:20,2
2.134.181.146,74,spam,09.06.2019 10:20,2
14.167.63.241,74,spam,07.01.2020 18:00,2
5.101.51.238,74,spam,03.09.2019 06:20,2
14.177.219.157,74,spam,13.02.2020 21:50,2
5.9.178.67,74,spam,25.06.2019 10:20,2
5.21.252.112,74,spam,04.07.2019 10:10,2
14.162.108.4,74,spam,22.07.2016 18:30,2
14.174.145.206,74,spam,27.02.2020 10:00,2
2.120.243.237,74,spam,20.02.2020 05:50,2
14.99.66.251,74,spam,06.02.2020 13:50,2
13.127.185.237,74,spam,24.04.2019 13:40,2
2.136.54.79,74,spam,19.02.2019 13:50,2
1.236.82.183,74,spam,26.12.2019 10:30,2
13.94.34.146,74,spam,25.02.2020 05:50,2
14.176.246.19,74,spam,12.01.2020 18:00,2
14.178.6.212,74,spam,26.02.2020 18:00,2
2.117.211.10,74,spam,26.06.2016 23:20,2
2.110.184.235,74,spam,25.01.2019 17:40,2
1.53.115.201,74,spam,18.08.2019 18:10,2
14.163.187.130,74,spam,19.02.2020 05:50,2
14.248.105.221,74,spam,20.02.2020 10:10,2
12.110.223.26,74,spam,08.09.2019 02:20,2
12.189.124.50,74,spam,05.10.2018 22:10,2
20.178.203.96,74,spam,27.01.2020 13:50,2
14.177.152.95,74,spam,24.10.2019 10:20,2
14.141.80.58,74,spam,18.09.2017 03:20,2
5.141.23.54,74,spam,01.10.2018 06:42,2
14.183.69.180,74,spam,21.07.2016 07:10,2
14.244.219.183,74,spam,24.02.2020 14:00,2
14.161.221.110,74,spam,20.02.2020 02:00,2
2.58.126.42,74,spam,09.02.2020 13:50,2
5.79.100.197,74,spam,15.09.2019 18:10,2
14.171.91.214,74,spam,13.08.2016 11:00,2
14.182.214.51,74,spam,17.06.2016 03:00,2
14.226.252.55,74,spam,25.02.2020 10:00,2
14.186.22.249,74,spam,07.08.2016 15:01,2
1.53.53.209,74,spam,02.11.2019 13:50,2
14.230.138.30,74,spam,25.11.2019 13:50,2
14.39.167.200,74,spam,22.04.2019 09:50,2
14.169.210.35,74,spam,01.02.2020 18:00,2
14.168.196.247,74,spam,09.02.2020 09:50,2
14.248.117.63,74,spam,01.02.2019 01:40,2
14.226.224.156,74,spam,28.09.2018 02:01,2
14.162.8.196,74,spam,21.02.2020 22:00,2
14.186.32.29,74,spam,06.02.2020 02:10,2
14.226.255.85,74,spam,06.12.2019 02:00,2
14.231.148.251,74,spam,17.02.2020 01:50,2
5.44.45.253,74,spam,19.01.2020 18:00,2
5.76.145.131,74,spam,06.01.2020 10:00,2
13.67.70.64,74,spam,02.10.2019 22:40,2
5.53.124.46,74,spam,24.07.2019 10:10,2
2.232.249.97,74,spam,22.03.2019 01:50,2
14.169.221.210,74,spam,06.11.2019 10:10,2
2.82.115.156,74,spam,10.09.2019 14:10,2
5.18.204.60,74,spam,25.07.2017 10:40,2
13.233.33.235,74,spam,18.02.2020 06:10,2
2.82.120.131,74,spam,21.09.2019 18:10,2
5.101.50.11,74,spam,18.12.2019 21:59,2
5.53.125.206,74,spam,07.08.2019 22:10,2
8.224.216.165,74,spam,14.05.2019 21:40,2
14.171.203.177,74,spam,16.05.2016 11:58,2
2.82.118.246,74,spam,13.12.2019 17:51,2
2.82.211.178,74,spam,23.02.2020 10:00,2
5.37.67.26,74,spam,29.06.2019 06:12,2
2.235.234.123,74,spam,04.01.2019 17:40,2
14.169.173.208,74,spam,26.02.2020 06:30,2
5.178.132.207,74,spam,12.11.2018 01:50,2
14.232.233.25,74,spam,26.02.2020 18:00,2
14.250.162.168,74,spam,21.02.2020 13:50,2
5.2.220.110,74,spam,17.02.2020 22:00,2
13.80.246.61,74,spam,05.02.2020 09:50,2
5.134.39.176,74,spam,20.10.2019 22:20,2
1.227.183.23,74,spam,09.03.2019 21:50,2
14.142.32.146,74,spam,18.08.2016 15:10,2
14.161.24.210,74,spam,23.12.2019 09:50,2
14.182.47.54,74,spam,10.12.2016 03:10,2
5.32.78.6,74,spam,02.04.2019 13:40,2
5.10.64.140,74,spam,24.01.2019 13:02,2
14.102.64.10,74,spam,04.01.2020 06:00,2
14.139.82.105,74,spam,26.05.2016 14:20,2
5.133.66.236,74,spam,06.05.2019 17:50,2
5.101.51.58,74,spam,18.08.2019 06:20,2
1.55.94.94,74,spam,30.12.2019 18:10,2
2.42.177.70,74,spam,11.02.2019 13:40,2
14.98.44.102,74,spam,19.02.2020 13:50,2
14.186.135.169,74,spam,07.08.2016 15:01,2
14.165.32.141,74,spam,01.07.2016 18:40,2
1.221.254.110,74,spam,03.01.2018 05:40,2
5.196.12.77,74,spam,04.10.2019 10:20,2
14.249.123.55,74,spam,24.02.2020 22:00,2
14.230.211.127,74,spam,29.12.2019 06:10,2
2.125.161.18,74,spam,12.01.2020 02:40,2
14.98.225.194,74,spam,26.09.2019 14:40,2
2.134.187.219,74,spam,19.11.2019 09:50,2
14.171.120.12,74,spam,19.02.2020 05:50,2
2.83.237.34,74,spam,30.03.2019 18:10,2
5.149.95.191,74,spam,24.01.2019 13:02,2
2.234.19.229,74,spam,26.01.2019 13:40,2
5.249.78.109,74,spam,24.07.2019 18:20,2
5.101.51.176,74,spam,27.08.2019 18:20,2
2.228.9.106,74,spam,03.03.2019 21:40,2
1.53.54.243,74,spam,02.01.2017 02:50,2
14.237.125.207,74,spam,20.02.2020 13:50,2
1.215.121.181,74,spam,08.03.2019 05:50,2
5.53.124.28,74,spam,20.07.2019 22:10,2
14.233.18.224,74,spam,01.02.2020 05:50,2
14.231.122.96,74,spam,21.08.2019 06:10,2
1.11.241.127,74,spam,08.02.2020 22:10,2
1.238.117.39,74,spam,09.03.2018 13:40,2
1.246.49.217,74,spam,24.01.2019 13:02,2
14.176.228.114,74,spam,16.08.2016 15:00,2
14.171.233.200,74,spam,03.06.2016 03:00,2
5.63.92.189,74,spam,12.02.2020 09:50,2
14.232.168.200,74,spam,20.02.2020 05:50,2
14.139.82.101,74,spam,24.05.2016 14:20,2
5.133.66.186,74,spam,05.05.2019 21:40,2
5.101.51.43,74,spam,04.09.2019 14:20,2
5.101.50.40,74,spam,18.12.2019 17:50,2
2.41.201.212,74,spam,25.02.2020 10:00,2
23.24.96.162,74,spam,11.06.2019 02:20,2
14.254.202.22,74,spam,19.02.2020 22:00,2
14.188.96.64,74,spam,26.01.2020 06:00,2
14.188.212.72,74,spam,24.01.2020 10:00,2
5.133.66.240,74,spam,23.06.2019 18:20,2
14.182.80.149,74,spam,23.06.2019 18:20,2
5.133.66.176,74,spam,05.05.2019 17:50,2
14.183.101.139,74,spam,16.11.2019 09:50,2
2.39.255.161,74,spam,22.02.2020 13:50,2
5.180.102.63,74,spam,26.02.2020 06:30,2
14.176.252.95,74,spam,20.10.2016 15:00,2
14.249.132.244,74,spam,27.02.2020 05:50,2
14.166.54.217,74,spam,19.02.2020 18:00,2
5.26.125.235,74,spam,09.01.2020 18:00,2
5.32.56.74,74,spam,29.08.2019 22:11,2
14.255.32.242,74,spam,25.02.2020 15:00,2
2.58.126.110,74,spam,22.02.2020 13:50,2
5.115.156.58,74,spam,22.02.2020 09:50,2
14.248.236.93,74,spam,18.01.2020 06:50,2
5.170.45.174,74,spam,12.01.2020 10:00,2
14.187.43.66,74,spam,25.02.2019 01:50,2
14.167.5.29,74,spam,09.12.2019 06:20,2
5.172.235.232,74,spam,11.02.2017 19:30,2
5.53.125.81,74,spam,27.01.2020 06:00,2
14.169.42.16,74,spam,28.11.2019 18:00,2
5.133.66.141,74,spam,05.05.2019 09:50,2
14.237.117.29,74,spam,30.01.2020 06:00,2
14.176.44.196,74,spam,17.10.2016 06:30,2
14.1.226.142,74,spam,10.12.2019 06:00,2
14.239.173.71,74,spam,13.04.2019 05:50,2
1.38.56.74,74,spam,01.01.2020 22:00,2
14.187.194.175,74,spam,09.05.2019 13:40,2
2.58.126.74,74,spam,22.02.2020 09:50,2
5.54.15.11,74,spam,21.02.2020 18:30,2
5.133.66.136,74,spam,05.05.2019 09:50,2
14.164.198.136,74,spam,20.08.2016 02:40,2
5.191.17.162,74,spam,28.08.2019 10:10,2
13.232.183.254,74,spam,10.02.2020 17:50,2
1.52.198.92,74,spam,28.12.2019 13:50,2
1.231.17.138,74,spam,04.09.2019 14:20,2
5.172.233.73,74,spam,14.07.2016 15:40,2
2.134.101.155,74,spam,26.02.2019 13:50,2
5.210.112.86,74,spam,20.02.2020 02:00,2
14.166.64.187,74,spam,29.01.2020 05:50,2
5.41.48.138,74,spam,11.05.2019 17:40,2
14.186.226.43,74,spam,08.04.2019 17:40,2
14.189.227.130,74,spam,19.02.2020 05:50,2
14.187.126.151,74,spam,17.02.2020 10:00,2
14.189.36.183,74,spam,27.02.2020 01:50,2
14.177.213.92,74,spam,26.05.2018 13:40,2
5.18.235.76,74,spam,23.02.2019 21:40,2
5.88.101.126,74,spam,04.02.2020 06:00,2
14.186.94.43,74,spam,18.10.2017 06:40,2
14.186.222.82,74,spam,28.12.2019 13:50,2
1.53.216.148,74,spam,22.02.2020 17:50,2
14.226.41.62,74,spam,25.04.2018 13:40,2
1.236.121.61,74,spam,02.02.2019 17:40,2
14.234.113.24,74,spam,20.02.2020 17:50,2
5.55.216.153,74,spam,16.02.2020 21:50,2
2.45.44.151,74,spam,23.02.2020 18:00,2
14.4.163.219,74,spam,09.06.2019 14:20,2
14.182.96.175,74,spam,28.06.2016 07:00,2
1.55.49.56,74,spam,20.02.2020 22:10,2
2.83.194.186,74,spam,21.02.2020 18:30,2
5.170.82.239,74,spam,20.02.2020 13:50,2
1.169.201.4,74,spam,24.02.2020 14:00,2
5.170.44.53,74,spam,25.02.2020 01:50,2
14.191.236.181,74,spam,18.02.2020 02:10,2
1.53.56.37,74,spam,25.02.2020 15:00,2
5.134.57.4,74,spam,19.02.2020 02:10,2
5.41.215.113,74,spam,25.02.2020 10:00,2
14.163.122.181,74,spam,21.02.2020 10:00,2
14.249.181.230,74,spam,25.02.2020 15:00,2
5.172.235.67,74,spam,20.10.2018 09:40,2
14.170.182.191,74,spam,13.02.2020 21:50,2
5.156.195.98,74,spam,25.02.2020 01:50,2
14.169.198.40,74,spam,02.06.2016 07:00,2
14.189.183.255,74,spam,04.02.2019 01:40,2
2.58.126.28,74,spam,08.02.2020 18:00,2
5.54.58.71,74,spam,03.01.2020 06:00,2
14.250.7.221,74,spam,20.02.2020 05:50,2
14.170.14.223,74,spam,17.06.2016 15:00,2
5.204.168.147,74,spam,24.02.2020 14:00,2
5.172.232.157,74,spam,20.06.2016 06:40,2
5.172.234.226,74,spam,01.06.2016 15:00,2
14.239.36.25,74,spam,21.02.2020 18:30,2
14.247.161.106,74,spam,28.01.2020 17:50,2
14.191.44.115,74,spam,20.02.2020 17:50,2
14.230.111.242,74,spam,24.02.2020 06:20,2
14.250.154.119,74,spam,23.02.2020 10:00,2
5.248.156.13,74,spam,25.11.2019 13:50,2
14.242.109.20,74,spam,04.01.2020 06:00,2
14.245.138.47,74,spam,11.02.2020 06:00,2
1.160.93.116,74,spam,23.02.2020 18:00,2
2.86.164.13,74,spam,20.02.2020 17:50,2
14.235.51.123,74,spam,19.02.2020 13:50,2
2.126.223.19,74,spam,21.02.2020 06:00,2
14.232.43.233,74,spam,20.02.2020 13:50,2
14.252.146.142,74,spam,19.02.2020 22:00,2
1.204.116.213,74,spam,20.02.2020 10:10,2
2.26.121.224,74,spam,21.02.2020 02:00,2
5.204.134.7,74,spam,20.02.2020 17:50,2
2.180.182.183,74,spam,20.02.2020 10:10,2
14.187.95.106,74,spam,19.02.2020 18:00,2
14.254.129.196,74,spam,01.02.2020 18:00,2
14.247.228.107,74,spam,20.02.2020 05:50,2
14.184.132.215,74,spam,19.02.2020 13:50,2
14.184.42.209,74,spam,11.10.2016 14:40,2
14.182.104.107,74,spam,20.02.2020 10:10,2
14.246.186.141,74,spam,30.01.2020 06:00,2
14.252.115.207,74,spam,21.02.2020 02:00,2
14.25.48.253,74,spam,21.02.2020 02:00,2
14.228.200.145,74,spam,19.02.2020 13:50,2
5.116.57.255,74,spam,19.02.2020 18:00,2
14.165.162.196,74,spam,16.05.2016 12:02,2
1.54.140.84,74,spam,01.07.2016 11:00,2
14.235.46.16,74,spam,20.02.2020 05:50,2
14.203.174.43,74,spam,29.01.2020 10:00,2
2.132.170.14,74,spam,19.02.2020 22:00,2
14.177.123.105,74,spam,16.01.2020 05:50,2
14.172.18.12,74,spam,10.02.2020 09:50,2
14.161.184.228,74,spam,14.02.2020 06:00,2
13.126.167.122,74,spam,28.01.2020 02:00,2
2.126.220.247,74,spam,19.02.2020 13:50,2
5.108.64.208,74,spam,20.02.2020 02:00,2
2.120.166.101,74,spam,19.02.2020 18:00,2
1.23.163.191,74,spam,21.12.2016 14:40,2
14.1.224.90,74,spam,09.11.2019 01:50,2
5.21.248.209,74,spam,24.04.2019 17:50,2
5.54.35.63,74,spam,27.01.2020 22:10,2
23.94.182.206,74,spam,14.01.2020 01:50,2
14.162.208.48,74,spam,12.09.2017 06:50,2
14.182.110.43,74,spam,13.02.2020 18:00,2
14.162.241.174,74,spam,30.01.2020 14:00,2
5.18.102.36,74,spam,16.10.2019 18:50,2
14.231.192.232,74,spam,12.02.2020 09:50,2
14.228.22.225,74,spam,12.02.2020 06:00,2
14.233.168.135,74,spam,13.02.2020 18:00,2
2.58.126.106,74,spam,15.02.2020 14:10,2
1.53.158.124,74,spam,01.02.2020 10:00,2
14.226.224.86,74,spam,21.05.2019 18:10,2
2.58.126.100,74,spam,14.02.2020 18:00,2
14.251.204.95,74,spam,28.12.2019 06:10,2
14.162.192.109,74,spam,03.10.2016 14:50,2
2.58.126.84,74,spam,13.02.2020 18:00,2
14.249.161.50,74,spam,31.01.2020 13:50,2
14.172.94.82,74,spam,12.01.2020 05:50,2
14.234.140.193,74,spam,09.02.2020 17:50,2
2.91.64.40,74,spam,08.02.2020 13:50,2
14.162.159.82,74,spam,07.12.2019 02:10,2
5.156.34.114,74,spam,17.01.2020 22:00,2
14.249.42.165,74,spam,04.02.2020 09:50,2
14.177.156.217,74,spam,13.08.2016 11:00,2
18.233.171.242,74,spam,05.02.2020 09:50,2
18.221.20.78,74,spam,05.02.2020 09:50,2
