kl_ip,kl_threat_score,kl_category,kl_first_seen,kl_popularity
1.4.219.64,80,proxy,15.02.2020 07:10,1
1.20.101.114,80,proxy,06.11.2018 15:00,1
5.61.46.156,78,malware,11.11.2019 01:58,3
5.8.35.161,75,malware,24.10.2019 02:04,5
23.94.206.246,75,malware,12.04.2020 08:51,5
5.45.64.181,75,malware,28.02.2017 14:43,4
5.9.18.114,75,malware,02.05.2015 00:00,3
2.59.134.111,75,malware,07.11.2019 02:07,3
5.45.67.97,75,malware,11.01.2018 21:38,2
5.45.72.63,75,malware,17.10.2017 15:38,2
5.188.178.93,75,malware,11.02.2020 06:26,2
5.149.250.122,75,malware,29.07.2019 18:53,2
192.0.2.1,75,test,01.01.2017 00:00,1
192.0.2.3,75,test,15.01.2017 00:00,1
3.230.176.171,74,malware,31.01.2020 15:49,5
1.9.71.2,74,spam,11.06.2019 14:10,5
5.23.54.164,74,spam,16.07.2019 02:10,4
1.53.137.92,74,spam,29.08.2018 17:40,4
12.109.102.86,74,spam,15.10.2018 01:50,4
5.178.217.227,74,spam,30.09.2018 01:40,4
5.59.143.43,74,spam,22.04.2019 01:40,4
5.59.136.226,74,spam,28.09.2018 02:00,4
12.132.115.17,74,spam,18.02.2019 17:51,3
1.212.157.115,74,spam,01.10.2018 06:42,3
2.115.68.98,74,spam,07.11.2019 21:50,3
5.103.137.240,74,spam,14.03.2020 06:00,3
5.103.109.116,74,spam,19.03.2020 14:00,2
5.29.29.220,74,spam,04.03.2020 22:00,2
2.234.19.229,74,spam,26.01.2019 13:40,2
5.64.188.109,74,spam,10.04.2020 02:00,2
14.102.61.138,74,spam,28.09.2018 02:01,2
2.110.29.169,74,spam,16.03.2020 22:00,2
5.159.232.219,74,spam,09.12.2019 21:50,2
5.196.166.232,74,spam,10.04.2020 13:50,2
5.102.21.248,74,spam,04.04.2020 02:00,2
1.55.223.31,74,spam,29.07.2016 19:40,2
5.178.132.207,74,spam,12.11.2018 01:50,2
1.52.196.175,74,spam,02.06.2016 15:00,2
5.53.124.33,74,spam,12.10.2019 14:10,2
5.62.43.170,74,spam,24.03.2020 21:50,2
1.40.245.204,74,spam,04.02.2020 06:00,2
14.162.47.250,74,spam,19.08.2016 11:10,2
14.160.20.58,74,spam,25.06.2017 10:20,2
1.55.44.238,74,spam,08.08.2016 11:20,2
5.253.60.85,74,spam,02.11.2019 22:00,2
14.98.44.238,74,spam,22.02.2020 09:50,2
1.54.214.39,74,spam,02.02.2017 06:40,2
14.162.185.80,74,spam,06.04.2020 09:50,2
5.248.229.36,74,spam,15.03.2020 17:50,2
14.1.224.173,74,spam,14.02.2020 13:50,2
5.149.95.191,74,spam,24.01.2019 13:02,2
5.53.124.217,74,spam,30.12.2019 18:10,2
5.53.125.224,74,spam,18.08.2019 14:10,2
5.181.82.33,74,spam,22.11.2019 21:50,2
