kl_hash,kl_threat_score,kl_category,kl_first_seen,kl_popularity,kl_threat
D2A749CD8ED98BD593865BC2380CA50219626705,70,malware,27.09.2019 11:29,2,HEUR:Trojan.Script.Generic
E57777256981D4D6DE0E7C53D6F44E64D3CB623E,70,malware,27.09.2019 11:29,2,HEUR:Trojan.Script.Generic
416D46BFA75E0C7AF484152AEB22A1B6919AF17B,70,malware,27.09.2019 11:29,2,HEUR:Trojan.Script.Generic
D376CD8B6CBF45E5B914C6C3C49084BECBB5930C,70,malware,27.09.2019 11:29,2,HEUR:Trojan.Script.Generic
1012AF724E3F1E94B34765F8BBA38B84BEB6BD89,70,malware,27.09.2019 11:29,2,HEUR:Trojan.Script.Generic
615BEEEA586381E77356BDC03D0677423A424E49,70,malware,27.09.2019 11:29,2,HEUR:Trojan.Script.Generic
0BD4938176C9E0B5A203155103095825483CB85F,70,malware,27.09.2019 11:29,2,HEUR:Trojan.Script.Generic
984AC7557C09E82394A6F2FEFA40E2F866E18373,70,malware,07.03.2019 02:32,2,HEUR:Trojan.Script.Generic
D35659B92FB3ADBA7D10470C44AAECD2DCBE0354,70,malware,25.02.2020 12:32,2,HEUR:Trojan.Script.Redirector.gen
4A3CDCFE5373E6F4A2EDEC2576CF7E3F1741CDFF,70,malware,09.04.2020 13:05,2,HEUR:Trojan.Script.Generic
5593F3880549C9FC50C8DCC5AFD256F5940DDFF0,70,malware,09.04.2020 13:05,2,HEUR:Trojan.Script.Generic
DBBA99C68209A08019E5DF29AC2A37C58AD3EF7E,70,malware,09.04.2020 13:05,2,HEUR:Trojan.Script.Generic
D966E6D524E3B3526A46B6318CBB826C670CEA6C,70,malware,09.04.2020 13:05,2,HEUR:Trojan.Script.Generic
9AB10BFE4096DDD7B06A968369D618B184635810,70,malware,09.04.2020 13:05,2,HEUR:Trojan.WinLNK.Agent.gen
0FBA84F3CE39B64E67D90CFCA5CE65D644E1530B,70,malware,09.04.2020 13:05,2,HEUR:Trojan.WinLNK.Agent.gen
162D735708F7846CCB60B8E6EF03DBF42766B7F2,70,malware,09.04.2020 13:05,2,HEUR:Trojan.WinLNK.Agent.gen
6C51B6BE52FF66F9EA439726FD02B8E428FD856D,70,malware,09.04.2020 13:05,2,HEUR:Trojan.Script.Generic
ED94D9457221D4A3055B69C144D864AF49EDAB6C,70,malware,09.04.2020 13:05,2,HEUR:Trojan.WinLNK.Agent.gen
20346C0E1FA060AE009E4D46EFF5831E49CE1071,70,malware,09.06.2016 10:36,1,Trojan-Dropper.VBS.Agent.bp
44917424B0EADFE990939EDE7CD1EB98CB08F75E,68,malware,06.02.2020 01:28,3,HEUR:Trojan.Script.Generic
7262FB79D8BCA5BDB5C2877F8A37CE21F408C5F8,68,malware,11.04.2020 19:47,2,Trojan-PSW.Win32.Coins.wfc
978DD29D5F80D9B73E5CB1209567E453BDB451DB,68,malware,11.04.2020 19:47,2,Trojan-PSW.Win32.Coins.wfn
09D01C05AAF90F3F4DE3427FF787415A1C6FC5C6,68,malware,22.11.2019 18:28,2,HEUR:Trojan.Script.Generic
6112C0AC8296F5EC2181B8CCA339DDEEEA6B923C,68,malware,22.11.2019 18:28,2,HEUR:Trojan.Script.Generic
3C2BBEC67CF2E054593C91305FEA0D6A60D26E52,68,malware,21.11.2019 11:11,2,HEUR:Trojan.Script.Generic
0C1CB0B16CF5319282AFE533E418F16737A2BE3B,68,malware,21.11.2019 11:11,2,HEUR:Trojan.Script.Agent.gen
6112C0AC8296F5EC2181B8CCA339DDEEEA6B923C,68,malware,21.11.2019 11:11,2,HEUR:Trojan.Script.Generic
526FC3979A57FFDC8D351E05298C34784BD27498,68,malware,21.11.2019 11:11,2,HEUR:Trojan.Script.Agent.gen
44917424B0EADFE990939EDE7CD1EB98CB08F75E,68,malware,21.11.2019 11:11,2,HEUR:Trojan.Script.Generic
D6CD71D3C127CE397EC049C0234F29FE28AE31D5,67,malware,05.07.2018 00:54,2,HEUR:Hoax.Script.Dating.gen
6E75163DBAE932B8BF5BE9D325DFAFC27AAE0A56,67,malware,05.07.2018 00:54,2,HEUR:Hoax.Script.Dating.gen
B48D7B72C2959B34F607FE88EBB3764154571468,67,malware,05.07.2018 00:54,2,HEUR:Hoax.Script.Dating.gen
6112C0AC8296F5EC2181B8CCA339DDEEEA6B923C,67,malware,20.11.2019 21:42,2,HEUR:Trojan.Script.Generic
09D01C05AAF90F3F4DE3427FF787415A1C6FC5C6,67,malware,20.11.2019 21:42,2,HEUR:Trojan.Script.Generic
210464A776326EDD3877BA2F98673D4A87099DDA,66,malware,14.09.2019 00:32,3,Backdoor.Win32.Mokes.aihu
7BADC2AFE75F311A862DE7C0C7B0829B4A0E339C,66,malware,14.09.2019 00:32,3,Backdoor.Win32.Mokes.aife
2AE762DA53596082200B06348C1AB87E4C3A57A6,66,malware,14.09.2019 00:32,3,Backdoor.Win32.Mokes.aiid
167046E871DE7BAF6E1047C74DC4C51D7BF7B30A,66,malware,14.09.2019 00:32,3,Backdoor.Win32.Mokes.aijt
52EE51CC96CA43ACD50CC85F53E6D03A32FEDBCB,66,malware,14.09.2019 00:32,3,Backdoor.Win32.Mokes.ahzx
19F5B61E72E7BE0C9933B6FB0BA9436490763F4E,66,malware,14.09.2019 00:32,3,Backdoor.Win32.Mokes.aiiq
51FAB10B7927929FBF5EA038918315A5D1E3BAD1,66,malware,14.09.2019 00:32,3,Trojan-Downloader.Win32.Dofoil.cgxs
131CB0E5CA0F29FB174C23270271869FE0858CA3,66,malware,14.09.2019 00:32,3,Backdoor.Win32.Mokes.aijn
B179884DFC3AAFEEC45D1FC8262D209326AB279B,66,malware,14.09.2019 00:32,3,Backdoor.Win32.Mokes.aigi
554D55AD495F54303CDD2DB901068E0141E1BD5D,66,malware,14.09.2019 00:32,3,Backdoor.Win32.Mokes.aihk
7480DF44FB63B2132BD62EFA2D78D81C23E78ED0,66,malware,13.02.2020 18:34,2,HEUR:Trojan.Script.Generic
E221BF5C7D38C69CF20542B9868DB9CA310B9C83,66,malware,13.02.2020 18:34,2,HEUR:Trojan.Script.Generic
7AECF8A5C465280EDF5780042A8997FF7456BB78,66,malware,13.02.2020 18:34,2,HEUR:Trojan.Script.Generic
994A89A6273A530ECCF74383E525FF27E5983A13,66,malware,13.02.2020 18:34,2,HEUR:Trojan.Script.Generic
E4DF2202FE89F9B44CB7189198705806DE2D1FF2,66,malware,13.02.2020 18:34,2,HEUR:Trojan.Script.Generic
5CC9D1ACB91EA3C858C91E0EB3DDA20C396D5D90,66,malware,13.02.2020 18:34,2,HEUR:Trojan.Script.Generic
990F64E3018F25EEC362CFEC6FE058C87C17F2C7,66,malware,13.02.2020 18:34,2,HEUR:Trojan.Script.Generic
C84C1B04A39EE6F2DED3715206D775615D50A55C,66,malware,13.02.2020 18:34,2,HEUR:Trojan.Script.Generic
27691CB19224A0AF0477B39973CD69DD5CC934A0,66,malware,13.02.2020 18:34,2,HEUR:Trojan.Script.Generic
3261AA595E551AFC46BC206AD1D13C64519D11C3,66,malware,13.02.2020 18:34,2,HEUR:Trojan.Script.Generic
8FC947CCCBFC01A32747AC4BFA104EC5040021F9,65,malware,19.02.2019 08:51,2,HEUR:Trojan.Win32.Generic
F05A2AE6EC9829CF8A958578FDF7F004B6A4B584,65,malware,19.02.2019 08:51,2,Trojan.Win32.Crypt.akem
B48EBFFC7E9989E62E8FF5E3F595531846981A6C,65,malware,19.02.2019 08:51,2,HEUR:Trojan.Win32.Kryptik.gen
999F755D3E7FF29C83AD69977874827C89E3577B,65,malware,19.02.2019 08:51,2,HEUR:Worm.Win32.WBVB.vam
4C523951C30C2086EDAD9E793D538C4BE8A3AF20,65,malware,19.02.2019 08:51,2,HEUR:Trojan-PSW.MSIL.Agensla.gen
87BC707BDAB54D4A31788FFA77B529C366872CF2,65,malware,19.02.2019 08:51,2,HEUR:Backdoor.MSIL.NanoBot.gen
F5208420964220826BE4CE6C715570C6D349F068,65,malware,19.02.2019 08:51,2,HEUR:Exploit.MSOffice.Generic
C5713E40764C21647FC04FBA87374DD567166AD7,65,malware,19.02.2019 08:51,2,HEUR:Trojan.Win32.Generic
